# Influence Factor Summary

| Factor | Metric | Direction |
|--------|--------|-----------|
| residence_time | conversion | increase |
| residence_time | selectivity | unchanged |
| temperature | conversion | increase |
| temperature | selectivity | decrease |
| bromine_molar_ratio | conversion | increase |
| bromine_molar_ratio | selectivity | decrease |
| residence_time | yield | increase |
| temperature | yield | increase |
| bromine_molar_ratio | yield | increase |
| reaction_time | yield | increase |
| temperature | space_time_yield | increase |
| bromine_molar_ratio | space_time_yield | unchanged |
| residence_time | space_time_yield | increase |
| temperature | side_product_formation | increase |
| bromine_molar_ratio | side_product_formation | increase |
| residence_time | side_product_formation | increase |
| hydrogen_bromide_addition | autocatalytic_behavior | - |
| hydrogen_bromide_addition | reproducibility | increase |
| quenching_agent | bromine | decrease |
| quenching_agent | reaction_time_control | increase |
| temperature | reaction_rate | increase |
| bromine_molar_ratio | reaction_rate | increase |
| residence_time | reaction_rate | decrease |
| temperature | conversion | increase |
| bromine_molar_ratio | conversion | increase |
| residence_time | conversion | increase |
| temperature | selectivity | decrease |
| bromine_molar_ratio | selectivity | decrease |
| residence_time | selectivity | decrease |
| temperature | yield | increase |
| bromine_molar_ratio | yield | increase |
| residence_time | yield | increase |
| temperature | dibrominated_product_formation | increase |
| bromine_molar_ratio | dibrominated_product_formation | increase |
| residence_time | dibrominated_product_formation | increase |
| temperature | mono-brominated_product | increase |
| bromine_molar_ratio | mono-brominated_product | increase |
| residence_time | mono-brominated_product | increase |
| temperature | yield | unchanged |
| bromine_molar_ratio | yield | unchanged |
| residence_time | yield | unchanged |
| temperature | yield | decrease |
| bromine_molar_ratio | yield | decrease |
| residence_time | yield | decrease |
| temperature | selectivity | unchanged |
| bromine_molar_ratio | selectivity | unchanged |
| residence_time | selectivity | unchanged |
| temperature | yield | increase |
| temperature | selectivity | unchanged |
| bromine_molar_ratio | yield | increase |
| bromine_molar_ratio | selectivity | unchanged |
| residence_time | yield | increase |
| residence_time | selectivity | unchanged |
| temperature | yield | increase |
| temperature | selectivity | decrease |
| bromine_molar_ratio | yield | increase |
| bromine_molar_ratio | selectivity | decrease |
| residence_time | yield | increase |
| residence_time | selectivity | decrease |
| temperature | yield | increase |
| temperature | selectivity | decrease |
| bromine_molar_ratio | yield | increase |
| bromine_molar_ratio | selectivity | decrease |
| residence_time | yield | increase |
| residence_time | selectivity | decrease |
| temperature | yield | increase |
| temperature | selectivity | decrease |
| bromine_molar_ratio | yield | increase |
| bromine_molar_ratio | selectivity | decrease |
| residence_time | yield | increase |
| residence_time | selectivity | decrease |
| temperature | yield | increase |
| temperature | selectivity | decrease |
| bromine_molar_ratio | yield | increase |
| bromine_molar_ratio | selectivity | decrease |
| residence_time | yield | increase |
| residence_time | selectivity | decrease |
| temperature | yield | increase |
| temperature | selectivity | decrease |
| bromine_molar_ratio | yield | increase |
| bromine_molar_ratio | selectivity | decrease |
| residence_time | yield | increase |
| residence_time | selectivity | decrease |
| temperature | yield | increase |
| temperature | selectivity | decrease |
