# Influence Factor Summary

| Factor | Metric | Direction |
|--------|--------|-----------|
| residence_time | conversion | increase |
| residence_time | selectivity | unchanged |
| reaction_temperature | yield | increase |
| reaction_temperature | productivity | increase |
| hydrogen_pressure | yield | unchanged |
| hydrogen_pressure | productivity | unchanged |
| initial_concentration | yield | increase |
| initial_concentration | productivity | increase |
| flow_rate | yield | decrease |
| flow_rate | productivity | increase |
| catalyst_usage | productivity | increase |
| reaction_temperature | activation_energy | unchanged |
| reaction_temperature | adsorption_heat | decrease |
| mean_residence_time | yield | increase |
| mean_residence_time | productivity | increase |
| MNA_concentration | yield | increase |
| MNA_concentration | productivity | increase |
| catalyst_mass | productivity | increase |
| solution_flow_rate | productivity | increase |
| reaction_temperature | reaction_rate_constant | increase |
| reaction_temperature | adsorption_equilibrium_constant | decrease |
| hydrogen_pressure | reaction_rate_constant | increase |
| hydrogen_pressure | adsorption_equilibrium_constant | increase |
| MNA_concentration | reaction_rate_constant | increase |
| MNA_concentration | adsorption_equilibrium_constant | increase |
| AMA_concentration | reaction_rate_constant | decrease |
| AMA_concentration | adsorption_equilibrium_constant | increase |
| temperature | regression_coefficient | increase |
| temperature | sum_of_squared_residuals | increase |
| temperature | mean_relative_error | increase |
| reaction_temperature | conversion | increase |
| reaction_temperature | yield | increase |
| reaction_temperature | by_product_formation | decrease |
| flow_rate | residence_time | decrease |
| catalyst_mass | residence_time | unchanged |
| hydrogen_pressure | conversion | unchanged |
| hydrogen_pressure | yield | unchanged |
| initial_concentration | conversion | increase |
| initial_concentration | yield | increase |
| flow_rate | conversion | decrease |
| flow_rate | yield | decrease |
| reaction_temperature | conversion | increase |
| reaction_temperature | selectivity | increase |
| catalyst_usage | yield | increase |
| catalyst_usage | productivity | increase |
