# Influence Factor Summary

| Factor | Metric | Direction |
|--------|--------|-----------|
| residence_time | conversion | increase |
| residence_time | selectivity | unchanged |
| temperature | yield | increase |
| temperature | production_rate | increase |
| temperature | decomposition | increase |
| temperature | thermal_stability | decrease |
| low_field_nmr | quantification_uncertainty | increase |
| high_field_nmr | structural_determination | increase |
| semi_automated_processing | accuracy | decrease |
| manual_processing | accuracy | increase |
| flow_chemistry | scalability | increase |
| flow_chemistry | reproducibility | increase |
| flow_chemistry | heat_transfer | increase |
| flow_chemistry | mass_transfer | increase |
| flow_chemistry | reaction_control | increase |
| flow_chemistry | hazardous_intermediates_control | increase |
| flow_chemistry | automation | increase |
| flow_chemistry | high_throughput_experimentation | increase |
| flow_chemistry | in_line_analytics | increase |
| flow_chemistry | reaction_optimization | increase |
| flow_chemistry | autonomous_experimentation | increase |
| human_in_the_loop_ml | decision_making | increase |
| human_in_the_loop_ml | workflow | - |
| ionic_liquids | material_properties | increase |
| ionic_liquids | chemical_resilience | increase |
| ionic_liquids | thermal_stability | increase |
| ionic_liquids | processing_ease | increase |
| ionic_liquids | energy_storage_applications | increase |
| ionic_liquids | separation_applications | increase |
| ionic_liquids | adhesive_applications | increase |
| ionic_liquids | green_solvant_applications | increase |
| ionic_liquids | antibacterial_applications | increase |
| stainless_steel_reactor | temperature_range | increase |
| pfa_tube_reactor | temperature_limit | decrease |
| nmr_spectra | resolution | decrease |
| nmr_spectra | resolution | increase |
| nmr_spectra | quantification_accuracy | decrease |
| nmr_spectra | quantification_accuracy | increase |
| nmr_spectra | automation_compatibility | increase |
| nmr_spectra | structural_analysis | increase |
| machine_learning | optimization_efficiency | increase |
| machine_learning | parameter_space_search | increase |
| machine_learning | reaction_planning | increase |
| machine_learning | model_prediction_accuracy | decrease |
| machine_learning | model_prediction_accuracy | increase |
| flow_chemistry | reaction_decomposition | increase |
| flow_chemistry | product_purification | - |
| flow_chemistry | reaction_time | decrease |
| microwave_assisted_synthesis | residence_time | decrease |
| microwave_assisted_synthesis | yield | increase |
| microwave_assisted_synthesis | production_rate | increase |
| flow_chemistry | reaction_space_exploration | increase |
| flow_chemistry | reaction_safety | increase |
| flow_chemistry | continuous_manufacturing | - |
| flow_chemistry | inline_purification | - |
| flow_chemistry | reaction_monitoring | increase |
| flow_chemistry | experimental_throughput | increase |
| flow_chemistry | reaction_scale | increase |
| flow_chemistry | reaction_consistency | increase |
| flow_chemistry | reaction_reproducibility | increase |
| flow_chemistry | reaction_efficiency | increase |
| flow_chemistry | reaction_speed | increase |
| flow_chemistry | reaction_yield | increase |
| flow_chemistry | production_rate | increase |
| flow_chemistry | space_time_yield | increase |
| flow_chemistry | automation_integration | - |
| flow_chemistry | data_driven_optimization | - |
| flow_chemistry | human_machine_collaboration | - |
| flow_chemistry | functional_material_synthesis | - |
| flow_chemistry | polymer_synthesis | - |
| flow_chemistry | ionic_material_synthesis | - |
| flow_chemistry | drug_synthesis | - |
| flow_chemistry | green_chemistry | - |
