# Influence Factor Summary

| Factor | Metric | Direction |
|--------|--------|-----------|
| temperature | conversion_rate | increase |
| residence_time | product_selectivity | decrease |
| pressure | yield | increase |
| residence_time | product_selectivity | unchanged |
| catalyst | conversion_rate | increase |
| residence_time | product_selectivity | unchanged |
| solvent | yield | increase |
| residence_time | product_selectivity | unchanged |
| temperature | conversion_rate | increase |
| residence_time | product_selectivity | unchanged |
| pressure | yield | increase |
| residence_time | product_selectivity | unchanged |
| catalyst | conversion_rate | increase |
| residence_time | product_selectivity | unchanged |
