| Precursor      | Substrate | Temperature | Products | Dimensions |
|-----------------|-----------|-------------|----------|------------|
| Amine, aldehyde | Au(111)   | N/A         | Discrete imines | N/A |
| Diamines, dianhydrides | Au(111) | N/A | Parallel strands of polyimides | N/A |
| Amides, acid chlorides | Ag(111) | N/A | Polymerized products | N/A |

| Precursor | Substrate | Temperature | Products | Dimensions |
|-----------|----------|------------|---------|-----------|
| TPB | Gold surface (Au(111)) | 100-120 K (low temperature) | Well-ordered structure | N/A |

| Precursor        | Substrate         | Temperature | Products | Dimensions |
|------------------|-------------------|-------------|----------|------------|
| Alcohols, Boronic Acids | N/A | Ultrahigh vacuum (UHV) conditions | Surface Covalent Organic Framework (SCOF) | 2D |
| Polyesters | N/A | Annealing temperature | Variety of molecular architectures with a chemically inert framework | N/A |

| Precursor | Substrate | Temperature | Products | Dimensions |
|-----------|-----------|-------------|----------|------------|
| TPB and TMC | Au(111) surface | Room temperature and 575 K | Covalent networks functionalized through ester bridges | 2D |

| Precursor                             | Substrate                                      | Temperature | Products                          | Dimensions |
|---------------------------------------|--------------------------------------------|------------|----------------------------------|------------|
| Benzene-1,3,5-tricarbonyltrichloride (TMC) | 1,3,5-tris(4-hydroxyphenyl)benzene (TPB) | UHV conditions | 2D extended COFs on Au(111) surfaces | 2D         |

