| Precursor | Substrate | Temperature | Products | Dimensions |
|-----------|-----------|-------------|----------|------------|
| Monomers 1 | Au(111) surface | 200°C | Linear polymer chains | 1D |
| N/A | N/A | N/A | Extended fully aromatic system | 2D |

| Precursor                   | Substrate | Temperature | Products | Dimensions |
|-----------------------------|-----------|-------------|----------|------------|
| 10,10 9-dibromo-9,9 9-bianthryl monomers | Underlying surface | Annealing | Linear polymers | N/A |
|                             |           |             | Fully aromatic GNRs | N/A |

| Precursor | Substrate | Temperature | Products | Dimensions |
|-----------|-----------|-------------|----------|------------|
| Precursor 1 | N/A | N/A | N57 armchair GNR | 1D |
| Precursor 1 | N/A | N/A | N59 ribbon | 1D |
| Precursor 1 | N/A | N/A | N511 ribbon | 1D |
| N/A | N/A | N/A | Chevron-like GNR (N56 and N59 segments) | 1D |

| Precursor                  | Substrate | Temperature | Products         | Dimensions |
|-------------------------|-----------|-------------|------------------|------------|
| 6,11-dibromo-1,2,3,4-tetraphenyltriphenylene | Au(111)   | 250°C       | GNR (chevron-type) | 1.70 nm (armchair edge) |
| N/A                        | N/A         | 440°C       | GNR (fully aromatic) | 0.18 nm |

| Precursor                                            | Substrate | Temperature | Products                                     | Dimensions |
|------------------------------------------------------|-----------|-------------|----------------------------------------------|------------|
| 1,3,5-tris(4'-iodo-2'-biphenyl)benzene (monomer 3) | Monomer 2 | N/A         | Threefold GNR junction                      | 2D         |
| N/A                                                  | N/A       | N/A         | GNR heterojunctions                          | N/A        |
| Phenyl rings substituted by heterocycles             | N/A       | N/A         | Isostructural GNRs with heteroatoms          | 1D        |

