| Precursor | Substrate | Temperature | Products | Dimensions |
|-----------|----------|------------|---------|------------|
| THPB | Au(111) surface | N/A | N/A | N/A |
| DHQP | Au(111) surface | N/A | N/A | N/A |
| Phenol derivatives | Au(111) and Ag(111) surfaces | N/A | N/A | N/A |

| Precursor | Substrate | Temperature | Products | Dimensions |
|-----------|-----------|-------------|----------|------------|
| THPB | Au(111) | Room temperature | Well-ordered self-assembly islands | 2D |
| DHQP | Au(111) | N/A | N/A | N/A |
| THPB | Ag(111) | N/A | N/A | N/A |
| DHQP | Ag(111) | N/A | N/A | N/A |

| Precursor | Substrate | Temperature | Products | Dimensions |
|-----------|----------|------------|---------|-----------|
| N/A | Au(111) and Ag(111) | N/A | N/A | N/A |

| Precursor | Substrate | Temperature | Products | Dimensions |
|-----------|-----------|-------------|---------|------------|
| DHQP | Au(111) | 270 °C | Stripes | 2D |
| DHQP | Au(111) | 320 °C | Networks | 2D |

| Precursor | Substrate | Temperature | Products | Dimensions |
|-----------|----------|------------|---------|-----------|
| N/A       | N/A      | N/A        | N/A     | N/A       |

