# Influence Factor Summary

| Factor | Metric | Direction |
|--------|--------|-----------|
| temperature | reaction_rate | increase |
| temperature | yield | increase |
| temperature | gas_generation | increase |
| temperature | selectivity | unchanged |
| temperature | ClO2_decomposition | increase |
| NaClO2_amount | reaction_rate | increase |
| NaClO2_amount | final_yield | increase |
| H2O2_amount | reaction_selectivity | increase |
| H2O2_amount | reaction_rate | increase |
| H2O2_amount | HClO_reduction | increase |
| pH | reaction_rate | decrease |
| pH | buffer_capacity | decrease |
| pH | selectivity | decrease |
| pH | HClO2_stability | increase |
| pH | HClO_self_decomposition | increase |
| buffer_salt_composition | reaction_rate | increase |
| buffer_salt_composition | selectivity | decrease |
| HCl_amount | reaction_rate | increase |
| HCl_amount | selectivity | decrease |
| pressure | reaction_rate | increase |
| pressure | gas_generation_impact | decrease |
| pressure | residence_time | decrease |
| residence_time | conversion | increase |
| concentration | reaction_rate | increase |
| concentration | reagent_consumption | decrease |
| concentration | safety_risk | increase |
| microreactor_use | mixing_efficiency | increase |
| microreactor_use | process_controllability | increase |
| microreactor_use | reaction_concentration | increase |
| microreactor_use | reaction_safety | increase |
| gas-liquid_mass_transfer | ClO2_utilization | increase |
| gas-liquid_mass_transfer | local_acid_concentration | decrease |
| HCl_use | phosphate_buffer_replacement | - |
| HCl_use | reagent_cost | decrease |
| HCl_use | waste_liquid_treatment | - |
| HCl_use | reaction_rate | increase |
| HCl_use | selectivity | decrease |
| high_temperature_high_pressure | NaClO2_consumption | decrease |
| high_temperature_high_pressure | H2O2_stability | unchanged |
| high_temperature_high_pressure | crotonaldehyde_polymerization | decrease |
| high_temperature_high_pressure | reaction_time | decrease |
| high_temperature_high_pressure | reaction_efficiency | increase |
| high_temperature_high_pressure | ClO2_accumulation | decrease |
| high_temperature_high_pressure | explosion_risk | decrease |
| high_temperature_high_pressure | yield | increase |
| high_temperature_high_pressure | selectivity | increase |
| residence_time | conversion | increase |
| residence_time | yield | increase |
| reactant_concentration | HCl_equivalent_requirement | decrease |
| reactant_concentration | reaction_efficiency | increase |
| reactant_concentration | safety_risk | increase |
| multi-stream_mixing | acid_distribution_uniformity | increase |
| multi-stream_mixing | raw_material_deterioration | decrease |
| multi-stream_mixing | local_acidity | decrease |
| multi-stream_mixing | reaction_controllability | increase |
| continuous_process | reaction_time | decrease |
| continuous_process | yield | increase |
| continuous_process | reagent_consumption | decrease |
| continuous_process | scalability | increase |
| microreactor_inherent_safety | reaction_concentration | increase |
| microreactor_inherent_safety | reaction_rate | increase |
| microreactor_inherent_safety | process_controllability | increase |
| phosphate_buffer_use | reagent_cost | increase |
| phosphate_buffer_use | waste_liquid_complexity | increase |
| HCl替代phosphate_buffer | reagent_cost | decrease |
| HCl替代phosphate_buffer | waste_liquid_complexity | decrease |
| HCl替代phosphate_buffer | reaction_efficiency | increase |
| HCl替代phosphate_buffer | process_complexity | decrease |
| high_temperature_superheated_flow | ClO2_reabsorption | increase |
| high_temperature_superheated_flow | oxidant_utilization | increase |
| high_temperature_superheated_flow | reaction_rate | increase |
| high_temperature_superheated_flow | reaction_safety | increase |
| high_temperature_superheated_flow | reaction_time | decrease |
| high_temperature_superheated_flow | yield | increase |
